PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
183.17,78.38,43.22,85.9929066826,59.6815549065,45.8399498883,59.9948889414,47.2340956794,36.1283214357,27.8018518519,61.912962963,119.0833333333,35,73,37,65.1111111111,34.35,70.6083333333,0
145.33,65.05,31.76,65.820057763,46.865653144,34.8999048869,59.7914973988,46.5877941356,35.2755608278,27.5509090909,58.3145454545,79.4166666667,35,72.2222222222,37.1764705882,64.4117647059,34.5916666667,69.575,0
143.59,69.55,34.67,68.0883647694,49.7773417305,37.8529113321,58.1428754594,43.4900637733,32.9251184464,24.9462962963,54.4166666667,95.5833333333,35.3529411765,70.7058823529,37.5,63.8333333333,34.7166666667,68.9583333333,0
261.27,163.89,121.08,131.4197535795,113.3364836749,93.7735909855,113.3434647455,98.5558200413,82.5843996471,57.2296296296,90.7333333333,266.1666666667,36,70.2352941176,38.2777777778,62.7777777778,34.8083333333,69.15,0
225.04,68.72,30.87,86.358393052,45.8463175156,32.5912522709,64.1966061592,40.8739328384,29.3596898317,29.3333333333,73.5055555556,74.8333333333,36,69.5882352941,38.5625,61.5,34.925,68.575,0
154.08,61.69,28.18,60.2764902617,42.4814694053,30.4369249846,55.544702318,38.1979353163,27.4698639976,21.9981481481,56.1648148148,66.8333333333,35.7894736842,70.0526315789,37.6666666667,63.3333333333,34.8166666667,68.9166666667,0
140.63,59.81,27.47,56.4468240738,41.1095821858,29.4627729654,59.7945781035,38.0567319533,27.4848292856,20.7574074074,51.5148148148,67.5833333333,34.5625,72.0625,35.4705882353,69.0588235294,34.025,70.2333333333,0
137.97,60.38,28.09,60.220369339,42.4327917099,30.766682148,59.6693276798,39.692541459,28.8954428504,21.1944444444,54.3851851852,64.4166666667,34,74.875,35.0588235294,70.7058823529,34.1,71.8916666667,0
164.06,70.72,37.47,65.0891611436,45.1339968513,33.0282372867,54.2229719162,39.8250623941,29.2106781006,23.1072727273,59.8,88.6666666667,34.7647058824,72.4117647059,37.25,65.625,35.0333333333,69.6083333333,0
150.52,62.73,31.62,80.7224724293,60.8662288189,48.015507102,59.915169211,50.9133577908,40.3706594355,29.9166666667,62.1314814815,116.3333333333,35.8125,70.3125,39.6470588235,58.4117647059,35.4416666667,67.7333333333,0
134.39,64.61,33.81,54.2354878017,39.8747528621,29.3596038818,45.7848649025,35.1982609034,26.0322360992,21.3351851852,53.6203703704,64.8333333333,36,68.5,39.6875,56.875,35.2083333333,67.3916666667,0
129.02,59.32,28.64,62.1491720676,45.9585566521,34.5782284737,50.6808294408,39.4560407751,30.1882509344,25.6666666667,59.8277777778,79.0833333333,36.375,67.625,39.1176470588,59.2941176471,35.2666666667,67.8,0
129.64,55.1,25.8,60.1783788204,39.543068409,28.5130059719,49.0860521653,33.7976047291,25.0891302894,19.6796296296,51.3703703704,55.25,37,66.1875,39.8235294118,56.8235294118,35.625,67.4666666667,0
118.26,51.92,24.67,54.8243331909,37.5785001867,27.1312604792,53.5852156246,32.6696844662,23.4729286643,19.1907407407,49.5296296296,55.1666666667,37.4705882353,64.4117647059,39,60.1764705882,35.6666666667,67.1333333333,0
134.74,56.4,28.7,65.8182095422,40.5055035485,29.5317680571,46.2263011932,32.9901749106,24.2278451359,18.8072727273,48.8981818182,63.1666666667,38,61.7777777778,38.9411764706,60.0588235294,35.7333333333,66.575,0
124.33,57.05,25.62,58.8299303055,38.5873305798,28.1167157888,47.6884059906,33.8593524297,24.8801482518,20.6685185185,47.7333333333,59.75,38.1875,61.25,39.4444444444,58.9444444444,35.9583333333,66.3416666667,0
