PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
48.25,31.04,21.92,24.77,19.84,15.67,22.15,18.81,14.94,19.32,27.22,NA,33,57,34,50.73,33.3,49.17,0
48.84,31.77,22.29,23.01,20.31,16.05,23.25,18.71,14.8,19.02,27.03,NA,33,57.24,34,51,33.3,49.45,0
50.87,32.6,22.24,25.06,20.84,16.47,23.9,18.85,14.89,18.99,26.37,NA,33,58,34,51,33.3,49.73,0
48.79,31.99,21.94,24.7,20.86,16.42,24.38,18.53,14.69,18.42,25.25,NA,33,58.06,34,51,33.3,49.82,0
47.1,32.17,21.98,22.35,19.79,15.74,21.62,17.69,14.15,18.66,24.27,NA,33,58,34,51.24,33.34,49.76,0
49.07,31,22.04,22.69,20.18,15.92,21.33,18.08,14.27,19.1,25.22,NA,33,58,34,51,33.34,49.83,0
46.74,31.56,21.95,24.14,20.48,16,20.56,18.37,14.57,18.92,26.11,NA,33,58.47,34,51.18,33.4,49.78,0
46.66,31.01,21.71,24.3,20.23,15.88,21.15,18.19,14.44,18.33,23.24,NA,33,58.38,34,51.84,33.4,50.15,0
50.31,30.99,22.01,24.14,20.22,16.09,20.71,18.32,14.44,18.89,27.13,NA,33,58.5,34,51.94,33.4,50.65,0
47.42,31.27,21.94,23.5,20.52,16.18,22.53,19,14.87,19.09,26.63,NA,33,59,34,52,33.4,50.62,0
46.75,31.44,21.83,24.58,20.8,16.33,20.67,18.32,14.45,19.02,25.92,NA,33,59,34,52,33.4,50.93,0
46.35,30.81,21.57,23.69,20.46,15.99,20.49,17.81,14.11,19.32,26.19,NA,33,59,34,52.24,33.4,50.94,0
49.4,30.87,21.59,23.57,20.46,16.05,21.09,18.58,14.7,18.54,24.25,NA,33,59,34,52.65,33.4,51.43,0
45.87,31.72,21.8,21.6,19.64,15.5,22.68,18.05,14.31,18.65,24.6,NA,33,59,34,52,33.4,51.14,0
